Title,Serielized
20th Century Boys,1999-2006
3 x 3 Eyes,1987-2002
750 Rider,1975-1985
A Certain Magical Index,2007-present
Abu-san,1973-2014
Ace of Diamond,2006-present
Ahiru no Sora,2004-2019 
Angel Heart,2001-2017
Asari-chan,1978-2014
Ashita no Joe,1968-1973
Assassination Classroom,2012-2016
Astro Boy,1952-1968
Attack on Titan,2009-2021
Bad Boys,1988-1996
Baki the Grappler,1991-present
Bari Bari Densetsu,1983-1991
Bastard!!,1988-2012  
Be-Bop High School,1983-2003
Berserk,1989-present
Black Butler,2006-present
Black Jack,1973-1983
Bleach,2001-2016
Boys Be...,1991-1997
Boys Over Flowers,1992-2003
Buddha,1972-1983
Captain Tsubasa,1981-present
Detective Conan,1994-present
Cat's Eye,1981-1984
Chainsaw Man,2018-present
Chameleon,1990-1999
Chibi Maruko-chan,1986-2018
Chihayafuru,2007-2022
City Hunter,1985-1991
Crayon Shinchan,1990ñpresent
Cobra,1978-1984
Cooking Papa,1985-present
Crest of the Royal Family,1976-present
Crows,1990-1998
Cuffs - Kizu Darake no Chizu,1997-2005
D.Gray-man,2004-present
Dear Boys,1989-present
Death Note,2003-2006
Demon Slayer: Kimetsu no Yaiba,2016-2020
Devilman,1972-1973
Dobutsu no Oisha-san,1987-1993
Dokaben,1972-1981
Doraemon,1969-1996
Dr. Slump,1980-1984
Dragon Ball,1984-1995
Dragon Quest Retsuden: Roto no Monsh≈ç,1991-1997
Dragon Quest: The Adventure of Dai,1989-1996
Emblem Take 2,1990-2004
Eyeshield 21,2002-2009
Fairy Tail,2006-2017
Fire Force,2015-2022
Fisherman Sanpei,1973-1983
Fist of the North Star,1983-1988
Flame of Recca,1995-2002
Food Wars! Shokugeki no Soma,2012-2019
Fruits Basket,1998-2006
Fullmetal Alchemist,2001-2010
Fushigi Yugi,1991-1996
Futari Ecchi,1997-present
Gaki Deka,1974-1980
Gantz,2000-2013
Gin Tama,2003-2019
Glass Mask,1976-2012 
Golden Kamuy,2014-2022
Golgo 13,1968-present
Great Teacher Onizuka,1997-2002
H2,1992-1999
Haikyu!!,2012-2020
Hajime no Ippo,1989-present
Haruhi Suzumiya,2004-2018
Hayate the Combat Butler,2004-2017
Hikaru no Go,1998-2003
Himitsu Series,1972-2014
Hoshin Engi,1996-2000
Hunter x Hunter,1998-present
Initial D,1995-2013
Inuyasha,1996-2008
Itazura na Kiss,1990-1999
Jarinko Chie,1978-1997
Jigoku Sensei Nube,1993-present
Jingi,1988-2019
JoJo's Bizarre Adventure,1987-present
Jujutsu Kaisen,2018-present
Kaiji,1996-present
Kaze Densetsu: Bukkomi no Taku,1991-1997
Kimagure Orange Road,1984-1987
Kimi ni Todoke,2005-2017
Kindaichi Case Files,1992-present
Kingdom,2006-present
Kinnikuman,"1979-1987, 2011-present"
KochiKame: Tokyo Beat Cops,1976-2016
Kosaku Shima,1983-present
Kuroko's Basketball,2008-2014
Kyouç Kara Ore Wa!!,1988-1997
Love Hina,1998-2001
Magi: The Labyrinth of Magic,2009-2017
Maison Ikkoku,1980-1987
Major,1994-present
Master Keaton,1988-1994
Minami no Teio,1992-present
Miyuki,1980-1984
Monster,1994-2001
My Hero Academia,2014-present
Nana,2000-2009 
Naruto,1999-2014
Negima! Magister Negi Magi,2003-2012
Neon Genesis Evangelion,1994-2013
Nodame Cantabile,2001-2009
Oh My Goddess!,1988-2014
Oishinbo,1983-2014 
One Piece,1997-present
One-Punch Man,2012-present
Parasyte,1988-1995
Patalliro!,1979-present
Peacock King,1985-2019
PokÈmon Adventures,1997-present
Promised Neverland,2016-2020
Ranma Ω,1987-1996
Rave Master,1999-2005
Reborn!,2004-2012
Red River,1995-2002
Rokudenashi Blues,1988-1997
Rookies,1998-2003
Rose of Versailles,1972-1973
Rurouni Kenshin,1994-1999
Sailor Moon,1991-1997
Saint Seiya,1986-1990
Saiyuki,1997-present
Sakigake!! Otoko Juku,1985-1991
Salary Man Kintaro,1994-2002
Sangokushi,1971-1986
Sazae-san,1946-1974
Seito Shokun!,1977-2019
Shaman King,1998-2004
Shizukanaru Don - Yakuza Side Story,1988-2013
Shonan Bakusozoku,1982-1988
Shonan Junai Gumi,1990-1996
Shonen Ashibe,1988-1994
Nippon no Rekishi,1981-2018
Shoot!,1990-2003
Shura no Mon,1987-1996
Slam Dunk,1990-1996
Space Brothers,2007-present
Spy x Family,2019-present
Sukeban Deka,1976-1982
Super Radical Gag Family,1993-present
Swan,1976-1981
Tasogare Ryuuseigun,1995-present
Terraformars,2011-2018 
That Time I Got Reincarnated as a Slime,2015-present
The Chef,1986-2016 
The Fable,2014-present
The Ping Pong Club,1993-1996
Prince of Tennis,1999-2008
Seven Deadly Sins,2012-2020
Silent Service,1988-1996
The Tale of Genji,1980-1993
Tokimeki Tonight,1982-1994
Tokyo Daigaku Monogatari,1992-2001
Tokyo Ghoul,2011-2018
Tokyo Revengers,2017-present
Toriko,2008-2016
Touch,1981-1986
Tsubasa: Reservoir Chronicle,2003-2009
Tsuribaka Nisshi,1979-present
Urusei Yatsura,1978-1987
Ushijima the Loan Shark,2004-2019
Ushio & Tora,1990-1996
Vagabond,1998-2015 
Weed,1999-2009
Worst,2002-2013
Yawara!,1986-1993
Yowamushi Pedal,2008-present
Yu-Gi-Oh!,1996-2004
Yukan Club,1982-2002
YuYu Hakusho,1990-1994
Zatch Bell!,2001-2007
